product_name,brand,category,price,discount_rate,rating,review_count,image_url,source,source_url
FLIP MAXI JERSEY SKIRT - GREY,오데스,롱,151200,10.0,0.0,0,https://img.29cm.co.kr/item/202605/11f147cc5d5ecb3bbc92830e3b877727.jpg,29CM,https://product.29cm.co.kr/catalog/3970207
[5월14일 순차출고]  Ceramic Series Set 세라믹 시리즈 세트,알엠에스,식판/나눔접시,81840,18.0,5.0,4,https://img.29cm.co.kr/item/202604/11f1388e776539b1bc929550b0b94bd2.jpg,29CM,https://product.29cm.co.kr/catalog/3911450
CUTE BUT TEE - WHITE,오데스,반소매 티셔츠,70200,10.0,0.0,0,https://img.29cm.co.kr/item/202605/11f149229309bab3bc925334631b14c8.jpg,29CM,https://product.29cm.co.kr/catalog/3970183
레인보우 고쟁이 - 7colors,퍼즈앤플레이,조거 팬츠,27360,5.0,5.0,19,https://img.29cm.co.kr/item/202604/11f131e153c6b57c89a07fba0ad2294d.jpg,29CM,https://product.29cm.co.kr/catalog/3906938
[7차 리오더] Linen boat-neck jacket_cream,녹섭,아우터,167320,35.0,4.5,66,https://img.29cm.co.kr/item/202507/11f05bbc1b0d21edafc08f016cceff25.jpg,29CM,https://product.29cm.co.kr/catalog/3329172
마카롱소프트나시,세아랑,나시/민소매,15220,31.0,4.5,21,https://img.29cm.co.kr/item/202604/11f138a344732f19bc92c33d691f06f9.jpg,29CM,https://product.29cm.co.kr/catalog/3930756
A3510 Nature heritage 티셔츠_Melange gray,반원 아틀리에,반소매 티셔츠,21160,51.0,4.5,631,https://img.29cm.co.kr/item/202603/11f12bd40291da079454e72a142f976c.jpg,29CM,https://product.29cm.co.kr/catalog/3053156
[13th] Daisy Sucker Banding Pants_Navy,호쿠스포쿠스,와이드,84790,19.0,5.0,194,https://img.29cm.co.kr/item/202507/11f062ace22137af8909f1cbedd4566f.jpg,29CM,https://product.29cm.co.kr/catalog/3346824
문 슈 OG W - 소프트 옐로우:블랙:소프트 펄 / IW0955-700,나이키,러닝화,139000,0.0,0.0,0,https://img.29cm.co.kr/item/202604/11f14458483723a685ee0783e1d19da3.png,29CM,https://product.29cm.co.kr/catalog/3921372
[6th] Amber Shirt - Charcoal,체,셔츠,124600,30.0,4.5,10,https://img.29cm.co.kr/item/202603/11f11b78b1fb7c50a3c04d430786682b.jpg,29CM,https://product.29cm.co.kr/catalog/3802082
BASIC LOGO TEE GREY,아메스 월드와이드,반소매 티셔츠,16900,50.0,5.0,426,https://img.29cm.co.kr/item/202506/11f044d4383ecb058909d1eba4724f9b.jpg,29CM,https://product.29cm.co.kr/catalog/3160761
브랜든 헬로키티 세이프 플러스 백팩 (블랙),브랜든,,115000,17.0,5.0,2,https://img.29cm.co.kr/item/202605/11f1477f0cf6b7efbc92df2d958bce20.jpg,29CM,https://product.29cm.co.kr/catalog/3937771
VINTAGE SWEAT PANTS - GREY,오데스,트레이닝,151200,10.0,0.0,0,https://img.29cm.co.kr/item/202605/11f147ccbdde29e3bc923725c3facdf3.jpg,29CM,https://product.29cm.co.kr/catalog/3970211
Logo Applique Zip-Up Hoodie [2 Color],포에브,후드 집업,50100,49.0,5.0,141,https://img.29cm.co.kr/item/202604/11f1449f85cd77ffbc92bb8a17cbeb45.jpg,29CM,https://product.29cm.co.kr/catalog/3799149
PWC RIBBED EVERYDAY SHORT SLEEVE TEE_8COLOR,파르티멘토 우먼,반소매 티셔츠,21080,27.0,5.0,462,https://img.29cm.co.kr/item/202602/11f107e298265bd8a540edf76538b259.jpg,29CM,https://product.29cm.co.kr/catalog/3751730
[스몰세트] 원더 트레이 스몰 1P+머그 스몰1P (5color),시리츠,식판/나눔접시,18870,15.0,5.0,160,https://img.29cm.co.kr/item/202512/11f0d8283290b13ca3c07bcdeb65edf8.jpg,29CM,https://product.29cm.co.kr/catalog/3687775
[15th] Oe Capri Pants (Black),가더,기타 팬츠,72680,19.0,5.0,95,https://img.29cm.co.kr/item/202602/11f112de8609e184a3c09f0c15e65c07.jpg,29CM,https://product.29cm.co.kr/catalog/3815852
Reversible 3/4 Sleeve Tee_Ivory,108파운드,긴소매 티셔츠,23540,40.0,4.5,589,https://img.29cm.co.kr/item/202509/11f092c88e6a979494a22581d7b9cd11.jpg,29CM,https://product.29cm.co.kr/catalog/3410565
Folding collar shirring top CHARCOAL,미세키서울,반소매 티셔츠,56690,27.0,5.0,1,https://img.29cm.co.kr/item/202604/11f138c7ed3bc37885eeef03184709fa.jpg,29CM,https://product.29cm.co.kr/catalog/3795634
스프린트 시스터 W - 리저록:오션 큐브:다크 신더:세일 / IR5693-256,나이키,로우탑,125100,10.0,5.0,51,https://img.29cm.co.kr/item/202604/11f13c632b37ebedbc920db2f48cfdd4.jpg,29CM,https://product.29cm.co.kr/catalog/3829784
[해원 PICK] 실크핏 웬즈데이 반팔 커플 잠옷 세트,도씨,반소매 세트,24600,58.0,5.0,249,https://img.29cm.co.kr/item/202603/11f129ac31094271b4933b3a42b1c0b7.jpg,29CM,https://product.29cm.co.kr/catalog/3171927
Jersey long skirt_blue,위드아웃썸머,하의,75650,15.0,0.0,0,https://img.29cm.co.kr/item/202604/11f142d0bc89bcebbc9287194e2140d4.jpg,29CM,https://product.29cm.co.kr/catalog/3946863
[ARCHIES] 아치스_토프,아치스,플립플랍,47410,5.0,5.0,1688,https://img.29cm.co.kr/next-product/2023/04/14/d855efd70d494cab967e5b40a22f3263_20230414093214.jpg,29CM,https://product.29cm.co.kr/catalog/1108702
브랜든 헬로키티 키링 장바구니 (레드),브랜든,,25000,14.0,5.0,2,https://img.29cm.co.kr/item/202604/11f1439c46bac3d885eeb38a2dba717c.jpg,29CM,https://product.29cm.co.kr/catalog/3939793
[인플루언서 착용/16th]checked puff sleeve blouse_lime green,포에트서울,상의,55600,36.0,4.5,36,https://img.29cm.co.kr/item/202507/11f058719de5ffc78909a13f313cfb67.jpg,29CM,https://product.29cm.co.kr/catalog/3322447
[이주미 PICK] [29EDITION] 비앙카 웨지 플립플랍 [n5316]_2color,누스,플립플랍,59100,25.0,4.5,14,https://img.29cm.co.kr/item/202604/11f137d056a8bcabbc92519987e11044.jpg,29CM,https://product.29cm.co.kr/catalog/3906926
[여울 PICK] WOMAN 썸머 루즈핏 래글런 핀턱 블라우스 [IVORY] / GF2LBL514,제너럴아이디어,블라우스,40800,24.0,4.5,161,https://img.29cm.co.kr/item/202604/11f141dafbe01a4fbc9223fafa55db99.jpg,29CM,https://product.29cm.co.kr/catalog/3866102
Resweet sandals,바이아덜스,슬링백샌들,88200,10.0,4.5,106,https://img.29cm.co.kr/item/202504/11f01f4ccc01f02ab13155b07baf17a1.jpg,29CM,https://product.29cm.co.kr/catalog/3235280
썸머컬러팝실내복,세아랑,상하복 세트,16830,29.0,4.5,13,https://img.29cm.co.kr/item/202604/11f13eb1e46b0be7bc924759c1c32dbe.jpg,29CM,https://product.29cm.co.kr/catalog/3931105
[13th] Linen Sunveil Blouse_White,호쿠스포쿠스,블라우스,104170,19.0,4.5,190,https://img.29cm.co.kr/item/202605/11f149bbbea4812285ee73726b2b2ea8.jpg,29CM,https://product.29cm.co.kr/catalog/3346457
G BABY TEE (LONG VERSION) (WHITE),글로니,반소매 티셔츠,34830,19.0,0.0,0,https://img.29cm.co.kr/item/202605/11f149acadccd24685ee55c0a40ecee0.jpg,29CM,https://product.29cm.co.kr/catalog/3937023
Bonnie check shirt,위드아웃썸머,상의,96900,15.0,0.0,0,https://img.29cm.co.kr/item/202604/11f142cfab3e0d7285ee4b6256bd3b51.jpg,29CM,https://product.29cm.co.kr/catalog/3946766
[4th] Pleats Cardigan Set - Light Gray,체,카디건,110600,30.0,5.0,5,https://img.29cm.co.kr/item/202603/11f11e7be7aaffdea5402dc1a8c32be2.jpg,29CM,https://product.29cm.co.kr/catalog/3801927
83플래그 로고 티셔츠(MELANGE GRAY) NTS4786MGZ,노티카,반소매 티셔츠,31950,29.0,5.0,122,https://img.29cm.co.kr/item/202604/11f142992fb90503bc9297fd43966644.jpg,29CM,https://product.29cm.co.kr/catalog/2112227
Ruffle shirring blouse_ivory,위드아웃썸머,상의,100220,23.0,5.0,29,https://img.29cm.co.kr/item/202602/11f10bc490e7c60aa3c02971d9112798.jpeg,29CM,https://product.29cm.co.kr/catalog/3750670
Ruffle shirring blouse_check,위드아웃썸머,상의,100220,23.0,4.5,291,https://img.29cm.co.kr/item/202602/11f10195fc35e044a540bbda85a265ca.jpg,29CM,https://product.29cm.co.kr/catalog/3750674
