product_name,brand,sub_category,price,rating,review_count,image_url,source,source_url
논노드 바이어스 폴로 셔츠 레드 스트라이프,Nonnod,긴소매셔츠,139000,0,30.0,https://kream-phinf.pstatic.net/MjAyNjAyMTlfOTQg/MDAxNzcxNDkyNTMxNTI2.mPCU2HdAwE_80ZB1GAjCM9_QpAyvOogX3xt-aegrWVQg.A6-Ax3sbQAnAuZjKzu3ATG9h6YVZnhvuJ-GSv7ZCAkEg.PNG/a_8477cdaf5af142a5aa0523feee6b20bf.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/797619
더블알엘 슬림핏 플래드 트윌 웨스턴 셔츠 인디고 크림,Double RL,긴소매셔츠,375000,0,15.0,https://kream-phinf.pstatic.net/MjAyNTExMjVfNzcg/MDAxNzY0MDQ3NTE4ODM1.YcKe8WMQEFTLYZ5VX9nKaKWfM4nlmYwFCw4-IFUrRi0g.BEvVWr4CtIgJTI2_dkOp5dbD6zLcRmi29Mi-4LWa_ZAg.PNG/a_b82757d2716a4f5697c0deffe227061a.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/698565
아이앱 스튜디오 데님 셔츠 블루,IAB Studio,긴소매셔츠,173000,0,256.0,https://kream-phinf.pstatic.net/MjAyNTA4MjhfMTkx/MDAxNzU2MzYwMzIyOTE0.dVU8dduyQ3_x3uL5-hXmFGgf1bmkz-HugQDjop0q_DQg.cBfBYsJmDGXK8rydQMs7EZxqQAVpgp0a9r71eEOWImwg.PNG/a_b45f97af47d4499daaa2a4a6df1b84c0.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/576913
플레이 꼼데가르송 스트라이프 블랙 하트 셔츠 블루,Play Comme des Garcons,긴소매셔츠,199000,0,64.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMjcw/MDAxNzUzODgyNjIxMTM4.CMkfXBj2LWiZc5tEh50EGuOguedBT2c3x_JqcrcgNZ0g.5gbjEu-iNu2fAOIzvnP6PJ0qxQGva6CkRq9Fk478loAg.PNG/a_ebc070b0996f443197ce2979d7468d56.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/268924
폴로 랄프 로렌 칠드런 린넨 셔츠 네비스 - 25FW,Polo Ralph Lauren,긴소매셔츠,159000,0,17.0,https://kream-phinf.pstatic.net/MjAyNTA4MjdfNCAg/MDAxNzU2Mjg2OTgxMDk5.L2_OWGL3vexbc3tZ9kMzh2zSIfzjOInTN3q14RSmW0kg.q-X3eTmU88PeL4o21rMS_HW5PHzKHMlv8Sqc8l61mLcg.PNG/p_0c0651614eb7411092df7f385eee4579.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/424282
나이키 리버풀 FC 스트라이크 드라이 핏 사커 드릴 탑 블랙 짐 레드 - 아시아,Nike,긴소매셔츠,148000,0,47.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfNzkg/MDAxNzUzODgyNDcyMDIx.DXbQ8SaFbIY1d30nbmNsrMzrztFaIa0DnC6i49e6ndcg.AHUpgeT8XDGp1_W0SKNznUOsLGvAmddhJcAcoL9jENMg.PNG/a_1aa3a99973a94a88abb9160ab7f27037.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/406526
아더에러 시그니피컨트 TRS/BL 태그 셔츠 01 스카이 블루,Ader Error,긴소매셔츠,302000,0,50.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfNDIg/MDAxNzUzODgyMDA0NDg5.Daaya1FpFVJQ-8ChfDoLuZd_tejwsqkJS0kwRirsC_sg.gRHCtVbFCzNc6bqrersK2McSpgeycCTFgcDahLzN_fcg.PNG/a_26d70876366b4dc9ae69a88c122b4213.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/187001
폴로 랄프 로렌 칠드런 린넨 셔츠 뉴포트 네이비 - 25FW,Polo Ralph Lauren,긴소매셔츠,159000,0,13.0,https://kream-phinf.pstatic.net/MjAyNTA4MjdfOSAg/MDAxNzU2Mjg3MDE2MDEx.8aZmh0XsQzlwisrkGkf-xFrHjZqAYcnmqddqrIX20bgg.WU92L9utGTO4m4TlBWcvp77h7v1GTyl4nRnuouDZqKog.PNG/p_8bc19e60c6494bd7bf41eda01bccc19c.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/424283
언더마이카 무.37 안티 Fxxking 로고 플레이 베이직 롱 슬리브 체크 셔츠 화이트 블루,Undermycar,긴소매셔츠,119000,0,402.0,https://kream-phinf.pstatic.net/MjAyNjA0MTZfMzMg/MDAxNzc2MzI5MzI5ODEx.Ez4gllZ-zoP1GtGkvXAvTPpvKuHzj9Sw4hV43eYKKs0g.qDFgUPHdOu9g244d5ZjvdK2bdKsjpX_-RAJ5IkDe8PEg.PNG/p_696e4a9d98dc4277b292ea7529451501.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/288269
슈프림 스몰 박스 데님 셔츠 라이트 인디고 - 25FW,Supreme,긴소매셔츠,250000,6,68.0,https://kream-phinf.pstatic.net/MjAyNTA4MjlfMTYw/MDAxNzU2NDU2NjU2MzIy.iVnWuhj9JXOvjgdrNs7qRVhtqthIlGm-ga9pO3UyeHAg.UwWkDevi-IYIZXxK_erVSB0k917fddq9l_P2IPoBhL4g.PNG/a_400d0a0a0cae4d9a8ae31eb13bf1ea25.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/593826
노매뉴얼 O.D 체크 셔츠 블랙,NOMANUAL,긴소매셔츠,95200,20,165.0,https://kream-phinf.pstatic.net/MjAyNTA3MzBfMjQ5/MDAxNzUzODgyMzAwOTg5.XMUYbkqYND44FN5rIRG-mKRGwaEDUYgn78M2QTka-oMg.Xge58mAXJWJOi3emOFdE-rr1DPv2PuZQc8zBd6V_m38g.PNG/a_6881065cade04cb2acc03573537832d7.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/440704
슈프림 스몰 박스 데님 셔츠 인디고 - 25FW,Supreme,긴소매셔츠,269000,0,91.0,https://kream-phinf.pstatic.net/MjAyNTA4MjlfNTkg/MDAxNzU2NDU2NzAxNjM1.3QlRcEkAyeEj0tnrpkc8OhQ88dmjqOeNewT6N-_ITLIg.d2L2xQSLSt8Vz4DOgzAIHv_MVsXC4sp0GIAjcsNBbQgg.PNG/a_329dbf1efd77406ea229b2f1e7b69425.png?cors=w_production_301775,KREAM,https://kream.co.kr/products/593824
