product_name,brand,category,sub_category,price,discount_rate,rating,review_count,tags,description,image_url,source,source_url
[주문폭주/살안타] 마린롱버전* 라즈 오픈 숄 여리핏 롱 가디건,selez,가디건,,19700,40,96.0,945.0,"오픈가디건,가디건,여름가디건,살안타,살안타가디건,쿨가디건,쿨링가디건,여름,볼레로,긴팔가디건,얇은가디건,여리핏,여리가디건,롱가디건",,https://d3ha2047wt6x28.cloudfront.net/DEWms81jVw0/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzBkODg5ZGM3MTVhYTlhNWYyNDY5YmIxOTJhYWM2MjZhLmdpZg,에이블리,https://m.a-bly.com/goods/49312611
[3만장돌파][여름][살안타] 썸머 루즈핏 비스코스 슬라브 브이넥 가디건 (11color),쇼퍼랜드,가디건,,20790,10,94.0,1099.0,,,https://d3ha2047wt6x28.cloudfront.net/8U8oSEsWtU4/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzhmZjI4MjEwNWY3YTM0MjAwMWRjODJmODdmNGY4ZDZlLmdpZg,에이블리,https://m.a-bly.com/goods/20857023
아디다스 아디컬러 클래식 파이어버드 트랙탑 져지 (KD8313),아디다스,자켓,,78750,47,97.0,40.0,"아디다스,남성트랙탑,아디다스트랙탑,트랙탑,남성트랙자켓,바람막이,집업자켓,아디다스자켓,자켓",,https://d3ha2047wt6x28.cloudfront.net/PUZoaWuRwj4/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzc2OTk1ZWIzMzRiOTk1NDlkZDhiN2QwYTI5MWRhMWUzLmpwZw,에이블리,https://m.a-bly.com/goods/65468860
(안사면후회따로코디O세트가격/가격미침/핏보장/(5color) [키치키치/레이스&리본&꽃무늬나시/얇은긴팔가디건/여름까지 입기좋은 가디건나시세트추천] 스록가디건세트,에이블린,가디건,,18500,7,0.0,0.0,"세트,투피스,셋업,여름세트,신상세트,가디건세트,나시세트,꾸안꾸,러블리,페미닌룩,여친룩,데이트룩,나들이룩,여행룩,미팅룩,소개팅룩,여름가디건,시스루,끈나시,꽃무늬나시,키치키치,리본나시,레이스나시,갓성비세트,가디건,최저가가디건세트,여리핏,팬츠코디,스커트코디,살안타템",,https://d3ha2047wt6x28.cloudfront.net/YHUd6ueTF4M/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzQ3MGJjZTNkNjNkNzdkODliNTU0YmYzMDkxMWY2N2EzLmdpZg,에이블리,https://m.a-bly.com/goods/67197881
[여름가디건/여리핏] 브리즈 루즈 썸머 버튼 긴팔 가디건 (5color),아모로소,가디건,,25480,27,100.0,7.0,"여름가디건,썸머가디건,살안타템,여리핏가디건,루즈핏가디건,얇은가디건,데일리가디건,여성가디건,긴팔가디건,여름아우터,봄가디건,간절기가디건,니트가디건,얇은니트,가벼운가디건,비치가디건,출근룩,데이트룩,데일리룩,봄코디,여름코디,자외선차단,휴가룩,여행룩,바캉스룩,여름필수템",,https://d3ha2047wt6x28.cloudfront.net/y6ONbCJMDws/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzIwMjYwNDE2XzE3NzYzMDYwODIxMjc5MDNtLmdpZg,에이블리,https://m.a-bly.com/goods/67266354
[easeas made] New Tencel Cardigan,이즈이즈,가디건,,35000,0,96.0,384.0,"여름가디건,텐셀가디건,살안타템",,https://d3ha2047wt6x28.cloudfront.net/zUXAk3n8-wk/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzg1OTYyODI1M2QwMDE5MDM2NTI1NGIwMTUzZjI4ODM5LmdpZg,에이블리,https://m.a-bly.com/goods/46062454
[최다코디] 스카시 여리핏 루즈 니트 가디건 - cd,크치made,가디건,,33940,14,0.0,0.0,"크림치즈마켓,자체제작,단독상품,made,가디건,봄,여름,데이트",,https://d3ha2047wt6x28.cloudfront.net/38kLWypw1Rw/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzQ5ODFiOTY4NDM3OWU0ODM5ZTMzMjYzNzU2OGJlNjFmLmpwZWc,에이블리,https://m.a-bly.com/goods/67246697
봄여름가디건/전 컬러 당일 [here you] 퍼지 모헤어 cardigan - 16color (봄니트/봄가디건/핑크/벚꽃룩/올리브/피크닉/나들이룩/살안타템/데이트룩),유리에,가디건,,34960,5,98.0,134.0,,,https://d3ha2047wt6x28.cloudfront.net/OCAxlJ59PoY/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzL2RiMTJhN2YzY2UyN2VmN2YzMGFlMTVmYmM1YTEyNzhlLmdpZg,에이블리,https://m.a-bly.com/goods/42835827
잇힝 첫번째 랜덤박스! 고퀄상품 꽉 채워 드립니다. 여성의류 시즌오프 빈티지 모리걸 데일리룩 에겐녀 번따룩 모리걸 현체,잇힝,야상,,33250,5,93.0,91.0,"랜덤,랜덤박스,잇힝,여자옷,여성옷,빈티지,모리걸,모리룩,데일리룩,꾸안꾸,데이트룩,꾸안꾸룩,코디세트,시즌오프,여성의류,데일리,아우터,티셔츠,원피스,가디건,치마,니트,모자,나시,민소매,바지,트레이닝바지,가방,에겐녀,번따룩",,https://d3ha2047wt6x28.cloudfront.net/uttWstZ6qtk/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzVhYTBlYjkwNGRjNjNiODJhNjA5MTE3NjExMDNlZTg3LmpwZw,에이블리,https://m.a-bly.com/goods/64073650
[쿨톤베이지승모근커버]소프트 얇은 울 니트 숄카라 가디건,루엘르,가디건,,21900,0,100.0,1.0,"봄가디건,얇은가디건,여름가디건,숄가디건,승모근커버,핏보장,슬림가디건,여리가디건,에겐녀,에겐녀룩,울가디건",,https://d3ha2047wt6x28.cloudfront.net/KMncOVC4XBQ/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzA4MDI3ZTY1MjU2ODQ0NTg5MDhhNGVlZGUxZmI1MTJmLmdpZg,에이블리,https://m.a-bly.com/goods/67879362
아디다스 오리지널 새틴 폴카 도트 집업 자켓 블랙 KV1166,오픈스텝,집업/점퍼,,189000,0,0.0,0.0,,,https://d3ha2047wt6x28.cloudfront.net/hCj8ZImZWT8/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzQ5MDE1NDIwZWIwY2Y4YjhkNWIxZWUzN2VjY2NmYmNhLnBuZw,에이블리,https://m.a-bly.com/goods/68185778
