product_name,brand,category,price,discount_rate,rating,review_count,image_url,source,source_url
[예약배송] 빅팬 저소음 BLDC 공기순환 서큘레이터 무선 탁상용 선풍기 [뮤트그린],르젠,선풍기/냉풍기,39800,69.0,0.0,0,https://img.29cm.co.kr/item/202604/11f143b7f754c55bbc92771d310ce580.jpg,29CM,https://product.29cm.co.kr/catalog/3964151?categoryLargeCode=293100100&categoryMediumCode=293106100&categorySmallCode=
단순생활 통세척 제로팟 가습기 3L,단순생활,가습기,139800,22.0,5.0,26,https://img.29cm.co.kr/item/202510/11f0af17fa51f8c5b27d01be26f3bc15.jpg,29CM,https://product.29cm.co.kr/catalog/3411135?categoryLargeCode=293100100&categoryMediumCode=293106100&categorySmallCode=
MIST STAND 무선 조명 가습기  [포레스트그린],루메나,가습기,59900,25.0,5.0,17,https://img.29cm.co.kr/item/202501/11efd894799127468f0a5fcd0929d98b.png,29CM,https://product.29cm.co.kr/catalog/3040104?categoryLargeCode=293100100&categoryMediumCode=293106100&categorySmallCode=
[29CM 단독]WBS 팥 찜질팩,웨이베러시스,기타 계절가전,22190,23.0,5.0,116,https://img.29cm.co.kr/item/202412/11efbdd4dbaa6bb8ad1baf8d53a5f95e.png,29CM,https://product.29cm.co.kr/catalog/2994377?categoryLargeCode=293100100&categoryMediumCode=293106100&categorySmallCode=
산리오 캐릭터 미니 가습기 무드등,로이체,가습기,34900,0.0,5.0,13,https://img.29cm.co.kr/next-product/2025/10/13/22191ab8ac6849cb97d4d68992e1e2e4_20251013173243.jpg,29CM,https://product.29cm.co.kr/catalog/3577269?categoryLargeCode=293100100&categoryMediumCode=293106100&categorySmallCode=
오아 아이스볼트 휴대용 미니 급속 냉각 손 선풍기 이중쿨링 BLDC 핸디 핸드 손풍기,오아,선풍기/냉풍기,23900,40.0,5.0,43,https://img.29cm.co.kr/next-product/2026/03/05/7a1a1a1544f8428ba43e13e9e8a8aa15_20260305121740.jpg,29CM,https://product.29cm.co.kr/catalog/3201106?categoryLargeCode=293100100&categoryMediumCode=293106100&categorySmallCode=
아웃도어프로덕츠 시그니처 UV 차단 쿨 마스크 (5colors),아웃도어 프로덕츠,장비/용품,7720,69.0,5.0,98,https://img.29cm.co.kr/item/202603/11f116a72d82eabca5409d44774114b9.jpg,29CM,https://product.29cm.co.kr/catalog/3284951?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
액티브 스킨 8_LC2177800,살로몬,기타 장비/용품,175000,0.0,0.0,0,https://img.29cm.co.kr/item/202603/11f123685c2670d4a3c0478062724706.png,29CM,https://product.29cm.co.kr/catalog/3707832?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
아웃도어 프로덕츠 시그니처 손등형 팔토시 2SET (3colors),아웃도어 프로덕츠,장비/용품,7720,70.0,4.5,7,https://img.29cm.co.kr/next-product/2026/04/22/3b8ffd04a3114991b6d0f476c57eb84d_20260422095955.jpg,29CM,https://product.29cm.co.kr/catalog/3284954?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
미즈노 더블 립 손등형 쿨토시 2세트 (2colors),미즈노,반장갑/워머,12900,34.0,4.5,25,https://img.29cm.co.kr/item/202505/11f031529dfe40688930f5486fd01170.jpg,29CM,https://product.29cm.co.kr/catalog/3283693?categoryLargeCode=286100100&categoryMediumCode=286117100&categorySmallCode=
